🧠 ECAN-Style Attention Metrics Extraction
==========================================
Starting ECAN-style attention metrics extraction at 2025-07-10T05:45:22Z

📊 Analyzing cognitive workload distribution...
  Scheme File: parallel.scm -> Attention: 82
  Scheme File: compound-join.scm -> Attention: 55
  Scheme File: true-join.scm -> Attention: 100
  Scheme File: join.scm -> Attention: 100
  Scheme File: true-container.scm -> Attention: 50
  Scheme File: blue-sky.scm -> Attention: 100
  Scheme File: join-content.scm -> Attention: 29
  Scheme File: true-upper.scm -> Attention: 51
  Scheme File: gpn-join.scm -> Attention: 77
  Scheme File: gpn-container.scm -> Attention: 100
  Scheme File: tv-test.scm -> Attention: 53
  Scheme File: stream.scm -> Attention: 47
  Scheme File: deep-space-test.scm -> Attention: 100
  Scheme File: cover-incoming-test.scm -> Attention: 100
  Scheme File: cover-delete-test.scm -> Attention: 100
  Scheme File: cover-basic-delete-test.scm -> Attention: 100
  Scheme File: recover-stack-test.scm -> Attention: 100
  Scheme File: cover-basic-test.scm -> Attention: 100
  Scheme File: cover-space-test.scm -> Attention: 100
  Scheme File: frame-incoming-test.scm -> Attention: 100
  Scheme File: recover-test.scm -> Attention: 100
  Scheme File: scm-opencog-test-runner-fail.scm -> Attention: 93
  Scheme File: scm-python.scm -> Attention: 42
  Scheme File: as-of-atom.scm -> Attention: 100
  Scheme File: scm-python-arity.scm -> Attention: 100
  Scheme File: scm-python-shared-atomspace.scm -> Attention: 100
  Scheme File: scm-opencog-test-runner-pass.scm -> Attention: 93
  Scheme File: utils-test.scm -> Attention: 49
  Scheme File: pm.scm -> Attention: 100
  Scheme File: inline-values.scm -> Attention: 98
  Scheme File: copy-atom-test.scm -> Attention: 100
  Scheme File: typedefs.scm -> Attention: 100
  Scheme File: buggy-link.scm -> Attention: 100
  Scheme File: bind-tv.scm -> Attention: 66
  Scheme File: stackmore-u-o.scm -> Attention: 100
  Scheme File: present-monotonicity.scm -> Attention: 50
  Scheme File: deduct-einstein.scm -> Attention: 100
  Scheme File: group-by-test.scm -> Attention: 100
  Scheme File: glob-basic.scm -> Attention: 100
  Scheme File: quote-nest.scm -> Attention: 98
  Scheme File: arcana-repeat.scm -> Attention: 100
  Scheme File: dot-identical-test.scm -> Attention: 100
  Scheme File: stackmore-u-u.scm -> Attention: 100
  Scheme File: query-exclusive.scm -> Attention: 49
  Scheme File: stackmore-o-uu.scm -> Attention: 100
  Scheme File: test_types.scm -> Attention: 100
  Scheme File: quote-gpn.scm -> Attention: 80
  Scheme File: dot-mashup-test.scm -> Attention: 100
  Scheme File: define-schema.scm -> Attention: 40
  Scheme File: dot-lambda-test.scm -> Attention: 95
  Scheme File: present.scm -> Attention: 83
  Scheme File: absent-multi.scm -> Attention: 100
  Scheme File: dont-exec-simple.scm -> Attention: 43
  Scheme File: greater-compute.scm -> Attention: 100
  Scheme File: quote-impossible.scm -> Attention: 47
  Scheme File: exec-gsn.scm -> Attention: 70
  Scheme File: choice-top-nest.scm -> Attention: 100
  Scheme File: eval-var.scm -> Attention: 100
  Scheme File: choice-constant.scm -> Attention: 100
  Scheme File: absent-disconn1.scm -> Attention: 41
  Scheme File: get-link-eval.scm -> Attention: 84
  Scheme File: greater_than.scm -> Attention: 100
  Scheme File: quote-exec-getlink.scm -> Attention: 68
  Scheme File: absent-conn1.scm -> Attention: 69
  Scheme File: glob-pivot.scm -> Attention: 74
  Scheme File: sudoku-rules.scm -> Attention: 100
  Scheme File: quote-throw.scm -> Attention: 53
  Scheme File: absent-disconn2.scm -> Attention: 34
  Scheme File: var-type-not.scm -> Attention: 100
  Scheme File: sat-named.scm -> Attention: 100
  Scheme File: glob-nest.scm -> Attention: 100
  Scheme File: unordered-jswiergo.scm -> Attention: 100
  Scheme File: eval-default-tv.scm -> Attention: 100
  Scheme File: buggy-stack.scm -> Attention: 100
  Scheme File: sparse-rinf.scm -> Attention: 100
  Scheme File: buggy-not.scm -> Attention: 100
  Scheme File: unordered-more.scm -> Attention: 100
  Scheme File: choice-embed-disco.scm -> Attention: 100
  Scheme File: or-eval-test.scm -> Attention: 100
  Scheme File: or-bind-test.scm -> Attention: 100
  Scheme File: exec.scm -> Attention: 34
  Scheme File: unordered-embed.scm -> Attention: 100
  Scheme File: quote-self.scm -> Attention: 49
  Scheme File: unify-test.scm -> Attention: 100
  Scheme File: implication-introduction.scm -> Attention: 100
  Scheme File: nested-and.scm -> Attention: 62
  Scheme File: virtual.scm -> Attention: 93
  Scheme File: stackmore-o-o.scm -> Attention: 100
  Scheme File: is_false.scm -> Attention: 51
  Scheme File: glob-multi-pivot.scm -> Attention: 100
  Scheme File: choice-present.scm -> Attention: 52
  Scheme File: disco-dancers.scm -> Attention: 56
  Scheme File: is_closed.scm -> Attention: 56
  Scheme File: arcana-const.scm -> Attention: 41
  Scheme File: deduct-rules.scm -> Attention: 100
  Scheme File: quote-greater.scm -> Attention: 100
  Scheme File: arcana-numeric.scm -> Attention: 67
  Scheme File: unordered-odo-couplayer.scm -> Attention: 100
  Scheme File: choice-unary.scm -> Attention: 43
  Scheme File: executable-pattern.scm -> Attention: 20
  Scheme File: sudoku-simple.scm -> Attention: 100
  Scheme File: recognizer.scm -> Attention: 100
  Scheme File: buggy-equal.scm -> Attention: 100
  Scheme File: get-link-embed.scm -> Attention: 100
  Scheme File: stackmore-o-u.scm -> Attention: 100
  Scheme File: get-link-equal.scm -> Attention: 100
  Scheme File: seq-trivial.scm -> Attention: 12
  Scheme File: choice-disconnected.scm -> Attention: 100
  Scheme File: sparse.scm -> Attention: 100
  Scheme File: dont-exec.scm -> Attention: 28
  Scheme File: deduct-trivial.scm -> Attention: 73
  Scheme File: choice-typed.scm -> Attention: 48
  Scheme File: sequence.scm -> Attention: 100
  Scheme File: recursive-test.scm -> Attention: 100
  Scheme File: multi-space-test.scm -> Attention: 100
  Scheme File: scope-confound.scm -> Attention: 100
  Scheme File: absent-pets.scm -> Attention: 71
  Scheme File: constant-scope.scm -> Attention: 87
  Scheme File: exec-factorial.scm -> Attention: 25
  Scheme File: evaluation.scm -> Attention: 100
  Scheme File: no-exception.scm -> Attention: 100
  Scheme File: sat-anonymous.scm -> Attention: 61
  Scheme File: dot-choice-test.scm -> Attention: 100
  Scheme File: stackmore-u-uu.scm -> Attention: 100
  Scheme File: or-more-test.scm -> Attention: 100
  Scheme File: absent-conn2.scm -> Attention: 67
  Scheme File: exec-lambda.scm -> Attention: 64
  Scheme File: unordered-odo-distinct.scm -> Attention: 100
  Scheme File: choice-nest.scm -> Attention: 100
  Scheme File: sparse-react.scm -> Attention: 100
  Scheme File: is_true.scm -> Attention: 51
  Scheme File: quote-glob.scm -> Attention: 43
  Scheme File: choice-embed.scm -> Attention: 100
  Scheme File: formula-predicate.scm -> Attention: 100
  Scheme File: quote-crash.scm -> Attention: 33
  Scheme File: signature-test.scm -> Attention: 100
  Scheme File: arcana-dummy.scm -> Attention: 18
  Scheme File: unordered-odo-couple.scm -> Attention: 100
  Scheme File: disconnected.scm -> Attention: 100
  Scheme File: choice-double.scm -> Attention: 100
  Scheme File: scope-quote.scm -> Attention: 100
  Scheme File: constant-present.scm -> Attention: 65
  Scheme File: scope-search.scm -> Attention: 100
  Scheme File: always-more.scm -> Attention: 100
  Scheme File: exec-lambda-get.scm -> Attention: 100
  Scheme File: match-link.scm -> Attention: 100
  Scheme File: arcana-bigger-dummy.scm -> Attention: 46
  Scheme File: choice-compound.scm -> Attention: 100
  Scheme File: no-exception-analysis.scm -> Attention: 90
  Scheme File: finite-state-machine.scm -> Attention: 100
  Scheme File: or-link-test.scm -> Attention: 100
  Scheme File: unordered-exhaust.scm -> Attention: 100
  Scheme File: stackmany-o-u.scm -> Attention: 100
  Scheme File: absent.scm -> Attention: 100
  Scheme File: ill-put.scm -> Attention: 64
  Scheme File: get-link.scm -> Attention: 100
  Scheme File: unordered-odometer.scm -> Attention: 100
  Scheme File: quote-start-test.scm -> Attention: 50
  Scheme File: unordered-odo-below.scm -> Attention: 100
  Scheme File: eval-lambda.scm -> Attention: 31
  Scheme File: unordered-odo-equal.scm -> Attention: 100
  Scheme File: always.scm -> Attention: 100
  Scheme File: buggy-equal-arithmetic.scm -> Attention: 95
  Scheme File: sudoku-puzzle.scm -> Attention: 100
  Scheme File: quote-quote.scm -> Attention: 100
  Scheme File: disco-vars.scm -> Attention: 63
  Scheme File: glob-partition.scm -> Attention: 91
  Scheme File: seq-absence.scm -> Attention: 100
  Scheme File: choice-link.scm -> Attention: 100
  Scheme File: define.scm -> Attention: 100
  Scheme File: marginals-test.scm -> Attention: 100
  Scheme File: buggy-selfgnd.scm -> Attention: 100
  Scheme File: unordered-odo-layer.scm -> Attention: 100
  Scheme File: seq-presence.scm -> Attention: 100
  Scheme File: sparse-react-ordered.scm -> Attention: 100
  Scheme File: unordered-odo-indistinct.scm -> Attention: 100
  Scheme File: present-virtual.scm -> Attention: 96
  Scheme File: buggy-crime.scm -> Attention: 100
  Scheme File: dot-product-test.scm -> Attention: 100
  Scheme File: deduct-keep.scm -> Attention: 100
  Scheme File: quote-scope.scm -> Attention: 61
  Scheme File: substitution.scm -> Attention: 100
  Scheme File: classical-boolean.scm -> Attention: 100
  Scheme File: meet-link-value-test.scm -> Attention: 100
  Scheme File: query-meet.scm -> Attention: 51
  Scheme File: sparse-list.scm -> Attention: 100
  Scheme File: constant-clauses.scm -> Attention: 81
  Scheme File: unordered.scm -> Attention: 100
  Scheme File: glob-number.scm -> Attention: 54
  Scheme File: blair-witch.scm -> Attention: 100
  Scheme File: unordered-odo-equpr.scm -> Attention: 100
  Scheme File: buggy-equal-unify.scm -> Attention: 100
  Scheme File: quote-var.scm -> Attention: 100
  Scheme File: query.scm -> Attention: 57
  Scheme File: unordered-quote.scm -> Attention: 100
  Scheme File: eval-equal.scm -> Attention: 100
  Scheme File: get-link-glob.scm -> Attention: 85
  Scheme File: deep-types.scm -> Attention: 100
  Scheme File: scope-hide.scm -> Attention: 100
  Scheme File: basic_unify.scm -> Attention: 41
  Scheme File: mst-bench.scm -> Attention: 100
  Scheme File: linear-parser.scm -> Attention: 100
  Scheme File: sections.scm -> Attention: 100
  Scheme File: make-section.scm -> Attention: 100
  Scheme File: mst-parser.scm -> Attention: 100
  Scheme File: linear-parser.scm -> Attention: 100
  Scheme File: extents.scm -> Attention: 100
  Scheme File: vo-graph.scm -> Attention: 100
  Scheme File: sheaf.scm -> Attention: 44
  Scheme File: mpg-parser.scm -> Attention: 100
  Scheme File: exec.scm -> Attention: 70
  Scheme File: type-utils.scm -> Attention: 100
  Scheme File: logger.scm -> Attention: 100
  Scheme File: randgen.scm -> Attention: 100
  Scheme File: apply.scm -> Attention: 53
  Scheme File: atom-cache.scm -> Attention: 100
  Scheme File: types.scm -> Attention: 100
  Scheme File: file-utils.scm -> Attention: 100
  Scheme File: atom-docs.scm -> Attention: 100
  Scheme File: utilities.scm -> Attention: 100
  Scheme File: repl-shell.scm -> Attention: 49
  Scheme File: core-docs.scm -> Attention: 100
  Scheme File: debug-trace.scm -> Attention: 93
  Scheme File: tv.scm -> Attention: 100
  Scheme File: test-runner.scm -> Attention: 94
  Scheme File: extension.scm -> Attention: 29
  Scheme File: opencog.scm -> Attention: 100
  Scheme File: README-recursive.scm -> Attention: 100
  Scheme File: python.scm -> Attention: 100
  Scheme File: vector-column.scm -> Attention: 100
  Scheme File: put-filter.scm -> Attention: 96
  Scheme File: value-of.scm -> Attention: 100
  Scheme File: group-by.scm -> Attention: 100
  Scheme File: virtual.scm -> Attention: 100
  Scheme File: presence.scm -> Attention: 100
  Scheme File: choice.scm -> Attention: 100
  Scheme File: fsm-basic.scm -> Attention: 100
  Scheme File: recognizer.scm -> Attention: 100
  Scheme File: dot-product.scm -> Attention: 95
  Scheme File: gsn.scm -> Attention: 100
  Scheme File: sequence.scm -> Attention: 100
  Scheme File: gpn.scm -> Attention: 100
  Scheme File: unify.scm -> Attention: 100
  Scheme File: glob.scm -> Attention: 100
  Scheme File: recursive.scm -> Attention: 100
  Scheme File: deduction-engine.scm -> Attention: 100
  Scheme File: type-signature.scm -> Attention: 100
  Scheme File: gsn-truth.scm -> Attention: 100
  Scheme File: filter-value.scm -> Attention: 100
  Scheme File: satisfaction.scm -> Attention: 100
  Scheme File: absent.scm -> Attention: 100
  Scheme File: markov-chain.scm -> Attention: 100
  Scheme File: always.scm -> Attention: 100
  Scheme File: define.scm -> Attention: 100
  Scheme File: filter-strings.scm -> Attention: 100
  Scheme File: filter.scm -> Attention: 100
  Scheme File: fsm-full.scm -> Attention: 100
  Scheme File: query.scm -> Attention: 100
  Scheme File: condition.scm -> Attention: 100
  Scheme File: fsm-mealy.scm -> Attention: 100
  Scheme File: prolog-datalog.scm -> Attention: 58
  Scheme File: sexpr-query.scm -> Attention: 100
  Scheme File: except.scm -> Attention: 77
  Scheme File: execute.scm -> Attention: 100
  Scheme File: values.scm -> Attention: 100
  Scheme File: truthvalues.scm -> Attention: 100
  Scheme File: python.scm -> Attention: 100
  Scheme File: flows.scm -> Attention: 100
  Scheme File: persist-multi.scm -> Attention: 100
  Scheme File: episodic-space.scm -> Attention: 100
  Scheme File: threaded.scm -> Attention: 100
  Scheme File: formulas.scm -> Attention: 100
  Scheme File: queue.scm -> Attention: 98
  Scheme File: flow-futures.scm -> Attention: 100
  Scheme File: parallel.scm -> Attention: 100
  Scheme File: flow-string.scm -> Attention: 100
  Scheme File: persist-query.scm -> Attention: 100
  Scheme File: flow-formulas.scm -> Attention: 100
  Scheme File: get-put.scm -> Attention: 100
  Scheme File: random-choice.scm -> Attention: 100
  Scheme File: persist-buffer.scm -> Attention: 100
  Scheme File: state.scm -> Attention: 100
  Scheme File: basic.scm -> Attention: 100
  Scheme File: persistence.scm -> Attention: 100
  Scheme File: stream.scm -> Attention: 100
  Scheme File: knowledge.scm -> Attention: 100
  Scheme File: frame.scm -> Attention: 100
  Scheme File: recursive-loop.scm -> Attention: 78
  Scheme File: bindlink.scm -> Attention: 100
  Scheme File: copy-on-write.scm -> Attention: 100
  Scheme File: persist-store.scm -> Attention: 100
  Scheme File: multi-space.scm -> Attention: 100
  Scheme File: table.scm -> Attention: 100
  Scheme File: factorial.scm -> Attention: 100
  Scheme File: assert-retract.scm -> Attention: 100
  Scheme File: property.scm -> Attention: 100
  Scheme File: persist-file.scm -> Attention: 100
  Scheme File: gperf.scm -> Attention: 100
  Scheme File: logging.scm -> Attention: 100
  Scheme File: persist-proxy.scm -> Attention: 100
  Scheme File: run-example.scm -> Attention: 64
  Scheme File: example.scm -> Attention: 46
  Scheme File: demo-types.scm -> Attention: 51
  Scheme File: hello-chem.scm -> Attention: 51
  Scheme File: cogserver.scm -> Attention: 100
  Scheme File: verification-framework.scm -> Attention: 100
  Scheme File: documentation-feedback-system.scm -> Attention: 100
  Scheme File: emergent-phenomena-hooks.scm -> Attention: 100
  Scheme File: distributed-multi-agent-framework.scm -> Attention: 100
  Scheme File: distributed-cognition.scm -> Attention: 100
  Scheme File: phase-ii-demonstration.scm -> Attention: 100
  GGML/Tensor File: geometric_mean_mirror.h -> Attention: 100
  GGML/Tensor File: geometric_mean.h -> Attention: 100
  GGML/Tensor File: exceptions.h -> Attention: 100
  GGML/Tensor File: lazy_normal_selector.h -> Attention: 72
  GGML/Tensor File: Cover_Tree.h -> Attention: 100
  GGML/Tensor File: MannWhitneyU.h -> Attention: 100
  GGML/Tensor File: sigslot.h -> Attention: 100
  GGML/Tensor File: hashing.h -> Attention: 100
  GGML/Tensor File: macros.h -> Attention: 83
  GGML/Tensor File: recent_val.h -> Attention: 80
  GGML/Tensor File: RandGen.h -> Attention: 100
  GGML/Tensor File: zipf.h -> Attention: 100
  GGML/Tensor File: selection.h -> Attention: 100
  GGML/Tensor File: tree.h -> Attention: 100
  GGML/Tensor File: ranking.h -> Attention: 68
  GGML/Tensor File: concurrent_set.h -> Attention: 100
  GGML/Tensor File: comprehension.h -> Attention: 100
  GGML/Tensor File: oc_assert.h -> Attention: 95
  GGML/Tensor File: Logger.h -> Attention: 100
  GGML/Tensor File: numeric.h -> Attention: 100
  GGML/Tensor File: dorepeat.h -> Attention: 60
  GGML/Tensor File: functional.h -> Attention: 100
  GGML/Tensor File: cluster.h -> Attention: 100
  GGML/Tensor File: algorithm.h -> Attention: 100
  GGML/Tensor File: concurrent_stack.h -> Attention: 100
  GGML/Tensor File: empty_string.h -> Attention: 65
  GGML/Tensor File: strndup.h -> Attention: 5
  GGML/Tensor File: concurrent_queue.h -> Attention: 100
  GGML/Tensor File: platform.h -> Attention: 100
  GGML/Tensor File: lru_cache.h -> Attention: 100
  GGML/Tensor File: cogutil.h -> Attention: 43
  GGML/Tensor File: mt19937ar.h -> Attention: 95
  GGML/Tensor File: strnlen.h -> Attention: 6
  GGML/Tensor File: lazy_selector.h -> Attention: 100
  GGML/Tensor File: log_prog_name.h -> Attention: 100
  GGML/Tensor File: async_method_caller.h -> Attention: 100
  GGML/Tensor File: pool.h -> Attention: 100
  GGML/Tensor File: based_variant.h -> Attention: 97
  GGML/Tensor File: iostreamContainer.h -> Attention: 100
  GGML/Tensor File: async_buffer.h -> Attention: 100
  GGML/Tensor File: random.h -> Attention: 100
  GGML/Tensor File: jaccard_index.h -> Attention: 55
  GGML/Tensor File: lazy_random_selector.h -> Attention: 73
  GGML/Tensor File: Config.h -> Attention: 100
  GGML/Tensor File: ansi.h -> Attention: 86
  GGML/Tensor File: octime.h -> Attention: 60
  GGML/Tensor File: backtrace-symbols.h -> Attention: 30
  GGML/Tensor File: StringTokenizer.h -> Attention: 100
  GGML/Tensor File: files.h -> Attention: 100
  GGML/Tensor File: KLD.h -> Attention: 100
  GGML/Tensor File: oc_omp.h -> Attention: 100
  GGML/Tensor File: Counter.h -> Attention: 100
  GGML/Tensor File: misc.h -> Attention: 100
  GGML/Tensor File: digraph.h -> Attention: 100
  GGML/Tensor File: getopt.h -> Attention: 100
  GGML/Tensor File: AttentionAllocator.h -> Attention: 100
  GGML/Tensor File: TensorKernel.h -> Attention: 100
  GGML/Tensor File: AtomSpaceTensorMapper.h -> Attention: 100
  GGML/Tensor File: TensorRegistry.h -> Attention: 100
  GGML/Tensor File: GrammarRegistry.h -> Attention: 100
  GGML/Tensor File: NeuralSymbolicBridge.h -> Attention: 100
  GGML/Tensor File: DistributedExecutor.h -> Attention: 100
  GGML/Tensor File: PerceptualInputProcessor.h -> Attention: 100
  GGML/Tensor File: HypergraphPatternExtractor.h -> Attention: 100
  GGML/Tensor File: HypergraphRenderer.h -> Attention: 100
  GGML/Tensor File: AttentionOverlay.h -> Attention: 100
  GGML/Tensor File: CognitiveVisualizer.h -> Attention: 100
  GGML/Tensor File: RealTimeIntrospector.h -> Attention: 100
  GGML/Tensor File: PrimeFactorizationShapeDeriver.h -> Attention: 100
  GGML/Tensor File: KernelDegreeAnalyzer.h -> Attention: 100
  GGML/Tensor File: SerializationEngine.h -> Attention: 100
  GGML/Tensor File: AgenticCatalogManager.h -> Attention: 100
  GGML/Tensor File: AgenticKernelSpec.h -> Attention: 100
  GGML/Tensor File: imply.h -> Attention: 100
  GGML/Tensor File: test-types.h -> Attention: 35
  GGML/Tensor File: MaxLink.h -> Attention: 100
  GGML/Tensor File: ArithmeticLink.h -> Attention: 100
  GGML/Tensor File: ElementOfLink.h -> Attention: 100
  GGML/Tensor File: FoldLink.h -> Attention: 100
  GGML/Tensor File: MinLink.h -> Attention: 100
  GGML/Tensor File: BoolOpLink.h -> Attention: 100
  GGML/Tensor File: DivideLink.h -> Attention: 100
  GGML/Tensor File: TimesLink.h -> Attention: 100
  GGML/Tensor File: AccumulateLink.h -> Attention: 100
  GGML/Tensor File: MinusLink.h -> Attention: 100
  GGML/Tensor File: NumericFunctionLink.h -> Attention: 100
  GGML/Tensor File: DecimateLink.h -> Attention: 100
  GGML/Tensor File: PlusLink.h -> Attention: 100
  GGML/Tensor File: ImpulseLink.h -> Attention: 100
  GGML/Tensor File: TypeChoice.h -> Attention: 100
  GGML/Tensor File: TypeIntersectionLink.h -> Attention: 100
  GGML/Tensor File: TimeLink.h -> Attention: 100
  GGML/Tensor File: Context.h -> Attention: 100
  GGML/Tensor File: DefineLink.h -> Attention: 100
  GGML/Tensor File: UniqueLink.h -> Attention: 100
  GGML/Tensor File: StateLink.h -> Attention: 100
  GGML/Tensor File: DontExecLink.h -> Attention: 100
  GGML/Tensor File: CondLink.h -> Attention: 100
  GGML/Tensor File: TypeUtils.h -> Attention: 100
  GGML/Tensor File: GrantLink.h -> Attention: 100
  GGML/Tensor File: ScopeLink.h -> Attention: 100
  GGML/Tensor File: LambdaLink.h -> Attention: 100
  GGML/Tensor File: VariableList.h -> Attention: 100
  GGML/Tensor File: SleepLink.h -> Attention: 100
  GGML/Tensor File: RandomChoice.h -> Attention: 100
  GGML/Tensor File: PutLink.h -> Attention: 100
  GGML/Tensor File: FreeVariables.h -> Attention: 100
  GGML/Tensor File: FindUtils.h -> Attention: 100
  GGML/Tensor File: NumberNode.h -> Attention: 100
  GGML/Tensor File: RewriteLink.h -> Attention: 100
  GGML/Tensor File: AbsentLink.h -> Attention: 100
  GGML/Tensor File: PresentLink.h -> Attention: 100
  GGML/Tensor File: VariableSet.h -> Attention: 100
  GGML/Tensor File: TypeNode.h -> Attention: 100
  GGML/Tensor File: TypedVariableLink.h -> Attention: 100
  GGML/Tensor File: FreeLink.h -> Attention: 100
  GGML/Tensor File: PrenexLink.h -> Attention: 100
  GGML/Tensor File: Variables.h -> Attention: 100
  GGML/Tensor File: Replacement.h -> Attention: 100
  GGML/Tensor File: FunctionLink.h -> Attention: 100
  GGML/Tensor File: UnorderedLink.h -> Attention: 100
  GGML/Tensor File: Quotation.h -> Attention: 100
  GGML/Tensor File: DeleteLink.h -> Attention: 100
  GGML/Tensor File: TypedAtomLink.h -> Attention: 100
  GGML/Tensor File: PythonRunner.h -> Attention: 100
  GGML/Tensor File: GroundedPredicateNode.h -> Attention: 100
  GGML/Tensor File: LibraryRunner.h -> Attention: 100
  GGML/Tensor File: DLPython.h -> Attention: 93
  GGML/Tensor File: Runner.h -> Attention: 100
  GGML/Tensor File: LibraryManager.h -> Attention: 100
  GGML/Tensor File: SCMRunner.h -> Attention: 100
  GGML/Tensor File: GroundedSchemaNode.h -> Attention: 100
  GGML/Tensor File: DLScheme.h -> Attention: 100
  GGML/Tensor File: SizeOfLink.h -> Attention: 100
  GGML/Tensor File: ConcatenateLink.h -> Attention: 100
  GGML/Tensor File: NumberOfLink.h -> Attention: 100
  GGML/Tensor File: SetValueLink.h -> Attention: 100
  GGML/Tensor File: FormulaPredicateLink.h -> Attention: 100
  GGML/Tensor File: PromiseLink.h -> Attention: 100
  GGML/Tensor File: FilterLink.h -> Attention: 100
  GGML/Tensor File: StringOfLink.h -> Attention: 100
  GGML/Tensor File: SetTVLink.h -> Attention: 100
  GGML/Tensor File: ValueShimLink.h -> Attention: 100
  GGML/Tensor File: CollectionOfLink.h -> Attention: 100
  GGML/Tensor File: StreamValueOfLink.h -> Attention: 100
  GGML/Tensor File: TruthValueOfLink.h -> Attention: 100
  GGML/Tensor File: SplitLink.h -> Attention: 100
  GGML/Tensor File: LinkSignatureLink.h -> Attention: 100
  GGML/Tensor File: ValueOfLink.h -> Attention: 100
  GGML/Tensor File: IncrementValueLink.h -> Attention: 100
  GGML/Tensor File: TypeOfLink.h -> Attention: 100
  GGML/Tensor File: IncomingOfLink.h -> Attention: 100
  GGML/Tensor File: Pattern.h -> Attention: 100
  GGML/Tensor File: PatternUtils.h -> Attention: 90
  GGML/Tensor File: SatisfactionLink.h -> Attention: 100
  GGML/Tensor File: MeetLink.h -> Attention: 100
  GGML/Tensor File: PatternTerm.h -> Attention: 100
  GGML/Tensor File: DualLink.h -> Attention: 100
  GGML/Tensor File: PatternLink.h -> Attention: 100
  GGML/Tensor File: GetLink.h -> Attention: 100
  GGML/Tensor File: BindLink.h -> Attention: 100
  GGML/Tensor File: QueryLink.h -> Attention: 100
  GGML/Tensor File: types.h -> Attention: 100
  GGML/Tensor File: NameServer.h -> Attention: 100
  GGML/Tensor File: SexprAST.h -> Attention: 100
  GGML/Tensor File: DatalogAST.h -> Attention: 100
  GGML/Tensor File: ForeignAST.h -> Attention: 100
  GGML/Tensor File: Node.h -> Attention: 100
  GGML/Tensor File: Handle.h -> Attention: 100
  GGML/Tensor File: ClassServer.h -> Attention: 100
  GGML/Tensor File: Link.h -> Attention: 100
  GGML/Tensor File: Atom.h -> Attention: 100
  GGML/Tensor File: hash.h -> Attention: 84
  GGML/Tensor File: Valuation.h -> Attention: 100
  GGML/Tensor File: Instantiator.h -> Attention: 100
  GGML/Tensor File: ExecutionOutputLink.h -> Attention: 100
  GGML/Tensor File: EvaluationLink.h -> Attention: 100
  GGML/Tensor File: GroundedProcedureNode.h -> Attention: 100
  GGML/Tensor File: Force.h -> Attention: 100
  GGML/Tensor File: SexprColumn.h -> Attention: 100
  GGML/Tensor File: FloatColumn.h -> Attention: 100
